user_id;variant;converted;session_duration_sec;device;traffic_source
U-0103;B;1;11;Mobile;Paid
U-0104;A;1;212;Mobile;Referral
U-0105;B;0;218;Mobile;Paid
U-0106;B;0;145;Mobile;Paid
U-0107;B;1;204;Mobile;Referral
U-0108;A;1;287;Web;Organic
U-0109;B;1;234;Mobile;Organic
U-0110;A;0;149;Web;Organic
U-0111;A;0;10;Web;Paid
U-0112;B;0;213;Mobile;Paid
U-0113;B;0;186;Mobile;Organic
U-0114;B;0;282;Mobile;Paid
U-0115;B;0;42;Web;Paid
U-0116;A;0;166;Mobile;Paid
U-0117;A;0;56;Mobile;Organic
U-0118;B;0;122;Mobile;Referral
U-0119;A;0;97;Mobile;Referral
U-0120;B;0;250;Mobile;Paid
U-0121;B;0;130;Web;Organic
U-0122;A;0;246;Mobile;Paid
U-0123;B;0;220;Mobile;Referral
U-0124;A;0;35;Web;Paid
U-0125;A;0;181;Web;Referral
U-0126;B;0;79;Mobile;Paid
U-0127;B;0;102;Mobile;Organic
U-0128;B;1;261;Web;Paid
U-0129;A;0;96;Mobile;Organic
U-0130;A;0;134;Web;Organic
U-0131;A;0;270;Mobile;Organic
U-0132;B;0;134;Mobile;Paid
U-0133;B;0;75;Web;Paid
U-0134;A;0;89;Web;Referral
U-0135;A;0;159;Mobile;Paid
U-0136;B;0;277;Mobile;Paid
U-0137;B;0;58;Web;Paid
U-0138;A;0;232;Mobile;Referral
U-0139;A;0;55;Web;Organic
U-0140;A;0;235;Mobile;Organic
U-0141;A;0;71;Mobile;Organic
U-0142;A;0;49;Web;Paid
U-0143;A;0;209;Web;Referral
U-0144;A;1;299;Mobile;Paid
U-0145;A;0;194;Web;Organic
U-0146;B;0;274;Mobile;Organic
U-0147;A;0;165;Mobile;Organic
U-0148;B;1;195;Web;Paid
U-0149;A;0;182;Mobile;Paid
U-0150;B;0;121;Mobile;Organic
U-0151;A;0;134;Web;Organic
U-0152;B;0;65;Mobile;Paid
U-0153;B;0;117;Web;Paid
U-0154;B;0;212;Mobile;Paid
U-0155;A;1;278;Mobile;Paid
U-0156;B;0;172;Web;Paid
U-0157;B;0;23;Mobile;Referral
U-0158;A;0;117;Mobile;Paid
U-0159;A;1;124;Mobile;Paid
U-0160;B;0;252;Web;Organic
U-0161;A;1;273;Mobile;Paid
U-0162;B;0;263;Mobile;Paid
U-0163;A;0;215;Web;Organic
U-0164;B;1;256;Web;Paid
U-0165;B;0;276;Mobile;Organic
U-0166;A;0;215;Mobile;Paid
U-0167;A;0;235;Web;Paid
U-0168;B;0;23;Mobile;Organic
U-0169;A;1;269;Mobile;Organic
U-0170;A;0;170;Mobile;Organic
U-0171;B;1;111;Mobile;Paid
U-0172;A;0;268;Mobile;Paid
U-0173;A;0;145;Mobile;Paid
U-0174;A;1;62;Mobile;Paid
U-0175;A;0;10;Mobile;Paid
U-0176;A;0;159;Mobile;Paid
U-0177;A;0;117;Web;Organic
U-0178;B;0;200;Mobile;Paid
U-0179;B;0;27;Mobile;Paid
U-0180;A;0;150;Mobile;Paid
U-0181;B;0;37;Web;Paid
U-0182;B;0;74;Web;Paid
U-0183;A;0;172;Mobile;Paid
U-0184;A;0;240;Mobile;Referral
U-0185;B;0;194;Mobile;Paid
U-0186;A;0;174;Mobile;Paid
U-0187;B;0;152;Mobile;Referral
U-0188;B;0;151;Mobile;Paid
U-0189;A;1;136;Web;Paid
U-0190;B;1;66;Web;Paid
U-0191;B;1;270;Web;Paid
U-0192;A;0;249;Mobile;Organic
U-0193;B;0;245;Web;Organic
U-0194;B;0;109;Web;Referral
U-0195;B;0;137;Mobile;Paid
U-0196;A;0;47;Mobile;Organic
U-0197;A;0;199;Mobile;Organic
U-0198;B;0;197;Web;Paid
U-0199;B;0;195;Mobile;Paid
U-0200;A;0;230;Mobile;Paid
U-0201;A;0;299;Mobile;Organic
U-0202;A;0;133;Web;Referral
U-0203;B;0;253;Web;Paid
U-0204;A;0;245;Web;Referral
U-0205;B;0;59;Web;Paid
U-0206;B;0;214;Web;Referral
U-0207;A;0;30;Web;Paid
U-0208;B;1;250;Web;Organic
U-0209;A;0;264;Mobile;Referral
U-0210;A;0;234;Mobile;Organic
U-0211;A;0;12;Web;Paid
U-0212;B;0;31;Web;Organic
U-0213;A;0;296;Web;Paid
U-0214;B;0;252;Mobile;Organic
U-0215;B;0;147;Mobile;Referral
U-0216;A;0;247;Web;Referral
U-0217;A;1;228;Web;Organic
U-0218;A;1;296;Web;Paid
U-0219;B;1;105;Web;Organic
U-0220;B;0;18;Mobile;Organic
U-0221;B;0;22;Web;Organic
U-0222;B;0;295;Mobile;Referral
U-0223;A;0;199;Mobile;Organic
U-0224;B;0;246;Web;Organic
U-0225;A;0;83;Web;Referral
U-0226;B;0;199;Web;Referral
U-0227;A;0;255;Mobile;Referral
U-0228;B;0;109;Mobile;Referral
U-0229;B;0;163;Mobile;Referral
U-0230;A;0;69;Mobile;Organic
U-0231;A;0;148;Web;Paid
U-0232;B;1;101;Web;Paid
U-0233;B;0;225;Web;Paid
U-0234;A;0;195;Web;Organic
U-0235;A;0;90;Web;Paid
U-0236;B;0;48;Web;Organic
U-0237;B;0;282;Mobile;Paid
U-0238;B;0;257;Mobile;Paid
U-0239;A;0;45;Mobile;Referral
U-0240;B;0;235;Mobile;Paid
U-0241;A;0;165;Web;Paid
U-0242;B;0;231;Mobile;Paid
U-0243;B;0;157;Mobile;Referral
U-0244;B;0;158;Mobile;Paid
U-0245;B;0;17;Mobile;Paid
U-0246;B;0;269;Mobile;Organic
U-0247;A;0;238;Mobile;Paid
U-0248;B;1;93;Mobile;Referral
U-0249;B;0;136;Mobile;Paid
U-0250;A;0;61;Web;Organic
U-0251;A;0;215;Mobile;Organic
U-0252;A;0;286;Web;Organic
U-0253;A;0;251;Web;Paid
U-0254;A;0;24;Web;Paid
U-0255;B;1;121;Mobile;Referral
U-0256;A;0;13;Web;Referral
U-0257;B;0;219;Web;Organic
U-0258;A;0;48;Mobile;Organic
U-0259;B;0;83;Web;Organic
U-0260;A;0;256;Web;Organic
U-0261;A;0;65;Web;Paid
U-0262;A;0;218;Mobile;Organic
U-0263;A;0;139;Mobile;Paid
U-0264;B;0;47;Mobile;Organic
U-0265;A;0;19;Mobile;Paid
U-0266;A;0;20;Web;Paid
U-0267;A;0;226;Web;Paid
U-0268;A;0;285;Mobile;Organic
U-0269;A;0;142;Mobile;Paid
U-0270;B;0;56;Mobile;Paid
U-0271;A;0;71;Web;Paid
U-0272;B;0;22;Web;Organic
U-0273;B;0;276;Web;Organic
U-0274;B;0;211;Mobile;Organic
U-0275;A;0;268;Web;Paid
U-0276;B;0;240;Web;Paid
U-0277;A;0;83;Mobile;Organic
U-0278;A;0;22;Mobile;Paid
U-0279;B;0;133;Mobile;Paid
U-0280;B;0;195;Web;Paid
U-0281;A;0;172;Mobile;Organic
U-0282;A;0;213;Web;Paid
U-0283;A;0;152;Mobile;Organic
U-0284;A;0;84;Web;Paid
U-0285;A;0;170;Mobile;Organic
U-0286;B;0;201;Mobile;Paid
U-0287;B;0;28;Mobile;Organic
U-0288;B;0;70;Web;Paid
U-0289;A;0;231;Web;Paid
U-0290;A;0;292;Web;Referral
U-0291;B;0;94;Mobile;Organic
U-0292;B;0;142;Web;Paid
U-0293;B;0;183;Web;Referral
U-0294;A;0;279;Mobile;Referral
U-0295;B;0;125;Mobile;Referral
U-0296;A;0;143;Web;Organic
U-0297;B;0;284;Mobile;Referral
U-0298;A;0;103;Mobile;Referral
U-0299;A;0;173;Web;Paid
U-0300;A;1;121;Mobile;Organic
U-0301;A;0;103;Mobile;Paid
U-0302;B;0;281;Mobile;Organic
U-0303;A;0;26;Web;Paid
U-0304;A;0;266;Mobile;Organic
U-0305;B;0;130;Mobile;Referral
U-0306;A;0;93;Mobile;Organic
U-0307;B;0;66;Mobile;Referral
U-0308;B;1;205;Web;Paid
U-0309;B;0;79;Mobile;Paid
U-0310;B;0;104;Mobile;Referral
U-0311;A;0;121;Mobile;Referral
U-0312;A;0;270;Mobile;Paid
U-0313;B;0;53;Mobile;Organic
U-0314;A;0;181;Mobile;Organic
U-0315;A;0;296;Mobile;Organic
U-0316;B;0;194;Mobile;Paid
U-0317;B;0;298;Mobile;Referral
U-0318;A;0;49;Web;Paid
U-0319;A;0;222;Mobile;Referral
U-0320;A;0;228;Mobile;Paid
U-0321;B;0;15;Mobile;Organic
U-0322;B;0;76;Mobile;Organic
U-0323;A;0;60;Web;Paid
U-0324;B;0;240;Web;Paid
U-0325;A;0;95;Mobile;Organic
U-0326;A;0;115;Web;Paid
U-0327;A;0;196;Web;Organic
U-0328;B;1;192;Mobile;Organic
U-0329;B;0;247;Web;Paid
U-0330;B;0;28;Web;Referral
U-0331;B;1;207;Web;Referral
U-0332;A;0;218;Mobile;Organic
U-0333;B;0;197;Web;Paid
U-0334;B;0;39;Mobile;Referral
U-0335;A;0;42;Web;Referral
U-0336;A;0;149;Mobile;Referral
U-0337;A;0;291;Web;Paid
U-0338;A;0;102;Web;Organic
U-0339;B;0;24;Web;Referral
U-0340;B;0;126;Mobile;Paid
U-0341;A;0;45;Mobile;Referral
U-0342;B;0;152;Web;Organic
U-0343;B;0;37;Web;Paid
U-0344;A;0;227;Mobile;Organic
U-0345;B;0;44;Mobile;Paid
U-0346;B;1;25;Web;Referral
U-0347;A;0;161;Web;Paid
U-0348;B;0;53;Mobile;Organic
U-0349;A;1;228;Web;Referral
U-0350;A;0;183;Mobile;Organic
U-0351;A;0;61;Web;Paid
U-0352;A;0;225;Mobile;Referral
U-0353;B;0;268;Mobile;Paid
U-0354;A;0;93;Mobile;Paid
U-0355;A;0;180;Mobile;Referral
U-0356;A;0;249;Mobile;Organic
U-0357;B;0;215;Web;Paid
U-0358;B;0;129;Web;Organic
U-0359;B;0;166;Mobile;Organic
U-0360;B;1;62;Web;Paid
U-0361;A;0;250;Mobile;Organic
U-0362;A;0;144;Web;Organic
U-0363;B;0;175;Web;Referral
U-0364;B;1;162;Mobile;Organic
U-0365;B;0;186;Web;Paid
U-0366;B;0;110;Mobile;Paid
U-0367;A;0;282;Mobile;Organic
U-0368;A;0;279;Mobile;Referral
U-0369;B;0;27;Mobile;Paid
U-0370;A;0;254;Mobile;Referral
U-0371;A;0;52;Web;Paid
U-0372;A;0;119;Mobile;Paid
U-0373;A;0;209;Web;Paid
U-0374;B;1;239;Mobile;Organic
U-0375;B;0;126;Web;Paid
U-0376;A;0;194;Mobile;Paid
U-0377;B;1;281;Mobile;Referral
U-0378;A;0;116;Mobile;Organic
U-0379;A;0;235;Web;Paid
U-0380;B;0;62;Mobile;Referral
U-0381;A;0;249;Mobile;Paid
U-0382;B;0;297;Mobile;Paid
U-0383;B;0;52;Web;Paid
U-0384;A;1;23;Web;Organic
U-0385;A;0;168;Mobile;Paid
U-0386;A;0;167;Web;Paid
U-0387;B;0;73;Web;Paid
U-0388;A;0;38;Web;Paid
U-0389;B;0;259;Mobile;Organic
U-0390;A;0;146;Mobile;Organic
U-0391;B;0;202;Mobile;Organic
U-0392;B;0;237;Mobile;Paid
U-0393;B;0;15;Mobile;Paid
U-0394;B;0;283;Mobile;Paid
U-0395;A;0;181;Web;Referral
U-0396;B;0;169;Mobile;Referral
U-0397;A;0;67;Mobile;Paid
U-0398;A;1;167;Web;Paid
U-0399;B;0;14;Mobile;Paid
U-0400;A;0;191;Mobile;Paid
U-0401;A;1;276;Web;Organic
U-0402;A;0;246;Web;Organic
U-0403;A;0;171;Web;Organic
U-0404;B;0;274;Web;Referral
U-0405;B;0;269;Mobile;Paid
U-0406;A;0;226;Web;Paid
U-0407;A;1;259;Web;Organic
U-0408;B;0;102;Web;Paid
U-0409;B;0;110;Web;Organic
U-0410;A;1;180;Mobile;Organic
U-0411;B;1;47;Mobile;Organic
U-0412;A;0;297;Mobile;Referral
U-0413;B;0;139;Web;Referral
U-0414;A;0;271;Web;Paid
U-0415;A;0;53;Mobile;Paid
U-0416;A;0;10;Mobile;Paid
U-0417;B;0;195;Web;Organic
U-0418;B;0;136;Mobile;Paid
U-0419;A;0;208;Mobile;Organic
U-0420;A;0;241;Web;Organic
U-0421;B;0;242;Web;Paid
U-0422;B;0;230;Web;Paid
U-0423;B;0;48;Web;Paid
U-0424;B;0;255;Mobile;Paid
U-0425;B;0;257;Web;Paid
U-0426;B;0;149;Web;Paid
U-0427;B;1;67;Web;Organic
U-0428;A;0;24;Web;Organic
U-0429;B;0;147;Mobile;Organic
U-0430;A;0;12;Web;Referral
U-0431;B;0;132;Mobile;Paid
U-0432;A;0;33;Web;Paid
U-0433;B;0;208;Web;Referral
U-0434;B;0;200;Web;Organic
U-0435;A;0;148;Web;Organic
U-0436;A;0;231;Web;Paid
U-0437;A;0;219;Mobile;Paid
U-0438;A;0;47;Mobile;Paid
U-0439;A;0;127;Mobile;Paid
U-0440;B;0;176;Mobile;Organic
U-0441;A;0;238;Mobile;Paid
U-0442;B;0;173;Mobile;Paid
U-0443;A;0;228;Web;Organic
U-0444;B;0;229;Mobile;Paid
U-0445;A;0;185;Web;Organic
U-0446;B;0;131;Mobile;Paid
U-0447;B;0;35;Web;Paid
U-0448;A;0;62;Web;Paid
U-0449;B;0;39;Mobile;Paid
U-0450;A;0;64;Web;Paid
U-0451;B;0;184;Mobile;Organic
U-0452;B;0;126;Mobile;Organic
U-0453;B;0;299;Mobile;Paid
U-0454;A;0;290;Mobile;Organic
U-0455;B;0;218;Mobile;Referral
U-0456;A;0;42;Mobile;Paid
U-0457;A;0;22;Mobile;Organic
U-0458;B;1;237;Web;Paid
U-0459;A;0;252;Mobile;Paid
U-0460;A;0;294;Mobile;Paid
U-0461;A;0;225;Mobile;Paid
U-0462;A;0;68;Mobile;Paid
U-0463;A;0;153;Mobile;Paid
U-0464;A;0;224;Web;Paid
U-0465;B;0;262;Web;Organic
U-0466;A;0;129;Web;Paid
U-0467;A;0;209;Mobile;Referral
U-0468;A;0;202;Web;Paid
U-0469;B;0;259;Mobile;Paid
U-0470;B;0;139;Mobile;Referral
U-0471;A;0;263;Web;Organic
U-0472;A;1;29;Web;Paid
U-0473;B;0;65;Web;Organic
U-0474;A;1;280;Web;Referral
U-0475;B;0;135;Web;Paid
U-0476;A;0;127;Mobile;Organic
U-0477;A;0;128;Mobile;Referral
U-0478;A;0;55;Web;Paid
U-0479;A;0;151;Mobile;Organic
U-0480;B;0;12;Web;Organic
U-0481;A;0;161;Mobile;Referral
U-0482;B;0;115;Mobile;Paid
U-0483;B;0;273;Mobile;Referral
U-0484;A;0;230;Mobile;Paid
U-0485;A;0;187;Mobile;Paid
U-0486;A;0;39;Web;Referral
U-0487;A;0;101;Web;Referral
U-0488;B;1;207;Mobile;Referral
U-0489;B;0;142;Web;Referral
U-0490;A;0;191;Web;Paid
U-0491;B;0;201;Mobile;Organic
U-0492;B;0;203;Mobile;Organic
U-0493;A;0;190;Web;Paid
U-0494;A;1;298;Web;Paid
U-0495;A;0;82;Web;Paid
U-0496;B;0;159;Web;Referral
U-0497;B;0;38;Web;Organic
U-0498;B;0;217;Mobile;Paid
U-0499;B;0;14;Mobile;Paid
U-0500;A;0;130;Mobile;Organic
U-0501;B;0;224;Mobile;Paid
U-0502;A;1;62;Web;Organic
U-0503;B;0;128;Mobile;Paid
U-0504;B;0;24;Mobile;Referral
U-0505;B;1;25;Mobile;Paid
U-0506;B;1;65;Mobile;Organic
U-0507;A;0;175;Mobile;Organic
U-0508;B;0;49;Mobile;Referral
U-0509;A;0;237;Mobile;Paid
U-0510;B;0;111;Web;Paid
U-0511;A;0;214;Mobile;Paid
U-0512;B;0;198;Mobile;Organic
U-0513;B;1;238;Mobile;Paid
U-0514;A;0;257;Web;Organic
U-0515;A;0;64;Mobile;Organic
U-0516;B;0;122;Web;Referral
U-0517;A;0;66;Mobile;Paid
U-0518;A;0;14;Mobile;Referral
U-0519;B;0;159;Mobile;Organic
U-0520;A;0;250;Web;Referral
U-0521;A;0;209;Mobile;Paid
U-0522;A;0;142;Mobile;Paid
U-0523;A;1;83;Web;Paid
U-0524;B;0;97;Mobile;Organic
U-0525;B;0;267;Mobile;Paid
U-0526;A;0;50;Mobile;Organic
U-0527;A;0;22;Mobile;Paid
U-0528;A;0;177;Mobile;Paid
U-0529;B;1;196;Web;Organic
U-0530;A;1;12;Web;Paid
U-0531;A;1;163;Web;Organic
U-0532;A;0;102;Mobile;Referral
U-0533;B;0;152;Mobile;Paid
U-0534;B;0;246;Mobile;Referral
U-0535;A;0;279;Mobile;Paid
U-0536;B;0;211;Mobile;Organic
U-0537;A;0;133;Mobile;Organic
U-0538;A;0;189;Mobile;Referral
U-0539;B;0;96;Mobile;Paid
U-0540;B;0;65;Web;Organic
U-0541;B;0;80;Web;Organic
U-0542;A;0;188;Web;Organic
U-0543;A;1;126;Mobile;Paid
U-0544;A;1;239;Web;Paid
U-0545;B;0;27;Mobile;Paid
U-0546;A;0;201;Web;Paid
U-0547;B;0;271;Web;Referral
U-0548;B;0;268;Web;Paid
U-0549;B;0;237;Mobile;Organic
U-0550;B;1;124;Web;Organic
U-0551;A;0;167;Mobile;Paid
U-0552;A;0;98;Mobile;Organic
U-0553;A;0;141;Mobile;Referral
U-0554;A;0;183;Web;Paid
U-0555;B;0;187;Web;Referral
U-0556;A;0;90;Web;Paid
U-0557;B;0;104;Mobile;Paid
U-0558;B;0;115;Web;Paid
U-0559;B;0;207;Mobile;Referral
U-0560;A;0;16;Mobile;Referral
U-0561;B;0;166;Web;Referral
U-0562;A;0;291;Web;Organic
U-0563;A;0;18;Mobile;Referral
U-0564;A;0;296;Web;Referral
U-0565;A;0;265;Mobile;Paid
U-0566;A;0;278;Web;Organic
U-0567;B;0;85;Web;Referral
U-0568;A;0;277;Mobile;Organic
U-0569;B;0;20;Web;Organic
U-0570;A;0;155;Mobile;Paid
U-0571;A;0;60;Mobile;Referral
U-0572;A;0;96;Web;Paid
U-0573;B;0;261;Mobile;Paid
U-0574;B;0;117;Web;Referral
U-0575;A;0;205;Mobile;Referral
U-0576;A;0;223;Web;Paid
U-0577;B;1;13;Web;Organic
U-0578;B;0;53;Mobile;Paid
U-0579;A;0;40;Web;Paid
U-0580;B;0;245;Mobile;Paid
U-0581;B;0;217;Web;Referral
U-0582;B;0;260;Mobile;Paid
U-0583;A;0;212;Mobile;Referral
U-0584;B;0;89;Mobile;Paid
U-0585;A;0;252;Web;Paid
U-0586;B;1;86;Mobile;Paid
U-0587;A;0;254;Mobile;Paid
U-0588;B;0;122;Web;Paid
U-0589;B;0;43;Mobile;Paid
U-0590;B;0;30;Mobile;Referral
U-0591;B;1;255;Mobile;Organic
U-0592;A;0;74;Web;Referral
U-0593;B;0;219;Mobile;Paid
U-0594;A;0;103;Web;Paid
U-0595;A;0;177;Web;Paid
U-0596;A;0;163;Web;Organic
U-0597;B;0;185;Web;Paid
U-0598;A;0;190;Web;Organic
U-0599;B;1;220;Web;Organic
U-0600;A;0;228;Mobile;Paid
U-0601;A;0;62;Web;Paid
U-0602;B;0;179;Mobile;Paid
U-0603;A;0;10;Web;Paid
U-0604;B;1;140;Mobile;Referral
U-0605;A;0;25;Mobile;Referral
U-0606;A;1;242;Web;Paid
U-0607;A;0;12;Mobile;Referral
U-0608;A;0;126;Mobile;Organic
U-0609;A;0;263;Mobile;Referral
U-0610;A;0;274;Mobile;Referral
U-0611;A;1;280;Web;Paid
U-0612;A;0;173;Mobile;Paid
U-0613;B;1;47;Web;Paid
U-0614;B;0;134;Mobile;Paid
U-0615;A;0;159;Mobile;Referral
U-0616;A;1;264;Mobile;Referral
U-0617;B;0;223;Mobile;Paid
U-0618;A;0;87;Mobile;Paid
U-0619;B;0;273;Mobile;Referral
U-0620;B;0;159;Web;Paid
U-0621;B;0;282;Mobile;Organic
U-0622;B;0;175;Mobile;Organic
U-0623;B;0;29;Mobile;Organic
U-0624;B;0;99;Mobile;Paid
U-0625;B;0;255;Web;Organic
U-0626;B;0;217;Web;Paid
U-0627;B;0;112;Web;Organic
U-0628;B;0;71;Web;Paid
U-0629;A;0;151;Web;Paid
U-0630;A;1;227;Web;Organic
U-0631;A;0;293;Mobile;Paid
U-0632;A;0;15;Mobile;Organic
U-0633;B;0;91;Mobile;Organic
U-0634;B;0;27;Mobile;Organic
U-0635;A;0;165;Mobile;Referral
U-0636;B;0;297;Web;Paid
U-0637;A;1;283;Web;Referral
U-0638;A;0;227;Web;Organic
U-0639;A;1;276;Web;Paid
U-0640;A;0;242;Mobile;Referral
U-0641;B;0;166;Mobile;Organic
U-0642;A;0;144;Mobile;Paid
U-0643;A;0;206;Mobile;Paid
U-0644;A;0;58;Web;Organic
U-0645;B;0;188;Mobile;Paid
U-0646;B;0;231;Web;Organic
U-0647;B;0;37;Mobile;Paid
U-0648;A;0;161;Mobile;Referral
U-0649;B;0;226;Mobile;Paid
U-0650;A;0;124;Web;Organic
U-0651;A;0;11;Mobile;Paid
U-0652;A;0;202;Mobile;Paid
U-0653;A;1;113;Web;Paid
U-0654;A;0;274;Web;Organic
U-0655;B;0;214;Mobile;Referral
U-0656;A;0;15;Web;Paid
U-0657;A;0;293;Mobile;Paid
U-0658;B;0;268;Mobile;Referral
U-0659;A;1;21;Mobile;Paid
U-0660;A;0;152;Mobile;Paid
U-0661;A;0;173;Mobile;Paid
U-0662;A;0;252;Mobile;Paid
U-0663;B;0;284;Web;Referral
U-0664;B;1;57;Web;Paid
U-0665;B;1;41;Web;Organic
U-0666;A;0;62;Web;Organic
U-0667;B;0;71;Web;Referral
U-0668;A;0;54;Web;Organic
U-0669;A;0;299;Mobile;Referral
U-0670;A;0;57;Mobile;Organic
U-0671;B;0;66;Web;Paid
U-0672;A;1;239;Mobile;Paid
U-0673;B;0;241;Web;Organic
U-0674;A;1;154;Mobile;Referral
U-0675;A;0;172;Web;Organic
U-0676;A;0;287;Mobile;Organic
U-0677;B;0;257;Web;Paid
U-0678;A;0;152;Mobile;Paid
U-0679;A;0;80;Mobile;Paid
U-0680;A;0;124;Mobile;Paid
U-0681;A;0;95;Web;Organic
U-0682;B;0;292;Mobile;Paid
U-0683;B;0;256;Web;Paid
U-0684;B;0;215;Mobile;Referral
U-0685;A;0;60;Mobile;Organic
U-0686;B;0;180;Mobile;Referral
U-0687;A;1;270;Web;Paid
U-0688;A;1;144;Mobile;Paid
U-0689;A;1;43;Mobile;Paid
U-0690;A;0;114;Web;Paid
U-0691;A;0;105;Mobile;Organic
U-0692;A;0;129;Mobile;Paid
U-0693;A;1;112;Mobile;Paid
U-0694;A;0;154;Web;Organic
U-0695;A;0;50;Mobile;Paid
U-0696;A;0;263;Web;Organic
U-0697;A;0;153;Mobile;Referral
U-0698;B;0;26;Web;Paid
U-0699;B;0;121;Web;Paid
U-0700;B;0;13;Web;Paid
U-0701;A;0;210;Web;Paid
U-0702;B;0;225;Mobile;Paid
U-0703;B;0;178;Web;Paid
U-0704;B;0;117;Web;Paid
U-0705;A;0;291;Mobile;Paid
U-0706;B;0;247;Web;Paid
U-0707;A;0;20;Mobile;Organic
U-0708;B;0;213;Mobile;Paid
U-0709;B;1;150;Mobile;Paid
U-0710;B;0;38;Web;Paid
U-0711;B;0;156;Web;Organic
U-0712;A;1;95;Mobile;Referral
U-0713;A;1;188;Web;Organic
U-0714;B;0;249;Web;Organic
U-0715;A;1;292;Web;Organic
U-0716;A;0;117;Web;Paid
U-0717;B;0;137;Web;Organic
U-0718;B;0;297;Mobile;Organic
U-0719;A;1;238;Mobile;Paid
U-0720;A;0;24;Web;Paid
U-0721;B;0;224;Mobile;Paid
U-0722;A;0;38;Mobile;Paid
U-0723;B;0;131;Mobile;Paid
U-0724;A;0;178;Web;Organic
U-0725;B;1;194;Mobile;Referral
U-0726;A;0;200;Mobile;Referral
U-0727;A;0;39;Mobile;Organic
U-0728;B;0;92;Web;Paid
